Time,Infected_per_day,Total_infections,Deads_per_day,Total_Deads
0,4,4,0,0
1,6,6,0,0
2,12,12,0,0
3,20,20,0,0
4,36,36,0,0
5,62,62,1,1
6,108,108,2,3
7,187,187,4,7
8,324,324,7,14
9,561,561,13,27
10,972,972,22,49
11,1683,1683,39,88
12,2916,2916,68,156
13,5050,5050,117,273
14,8748,8748,204,477
15,11902,11902,353,830
16,15549,15549,612,1442
17,19458,19458,833,2275
18,23268,23268,1088,3363
19,26518,26518,1362,4725
20,28715,28715,1628,6353
21,29449,29449,1856,8209
22,28496,28496,2010,10219
23,25910,25910,2061,12280
24,22034,22034,1994,14274
25,17433,17433,1813,16087
26,12756,12756,1542,17629
27,8572,8572,1220,18849
28,5249,5249,892,19741
29,2901,2901,600,20341
30,1432,1432,367,20708
31,623,623,203,20911
32,235,235,100,21011
33,75,75,43,21054
34,20,20,16,21070
35,21,21,5,21075
36,22,22,1,21076
37,23,23,1,21077
38,24,24,1,21078
39,25,25,1,21079
40,26,26,1,21080
41,28,28,1,21081
42,29,29,1,21082
43,31,31,1,21083
44,32,32,2,21085
45,34,34,2,21087
46,35,35,2,21089
47,37,37,2,21091
48,39,39,2,21093
49,41,41,2,21095
50,43,43,2,21097
51,45,45,2,21099
52,47,47,3,21102
53,49,49,3,21105
54,52,52,3,21108
55,54,54,3,21111
56,57,57,3,21114
57,60,60,3,21117
58,63,63,3,21120
59,66,66,4,21124
60,69,69,4,21128
61,73,73,4,21132
62,76,76,4,21136
63,80,80,5,21141
64,84,84,5,21146
65,88,88,5,21151
66,92,92,5,21156
67,97,97,6,21162
68,102,102,6,21168
69,107,107,6,21174
70,112,112,7,21181
71,117,117,7,21188
72,123,123,7,21195
73,129,129,8,21203
74,136,136,8,21211
75,142,142,9,21220
76,149,149,9,21229
77,156,156,9,21238
78,164,164,10,21248
79,172,172,10,21258
80,181,181,11,21269
81,189,189,12,21281
82,199,199,12,21293
83,208,208,13,21306
84,219,219,13,21319
85,229,229,14,21333
86,240,240,15,21348
87,252,252,16,21364
88,265,265,16,21380
89,277,277,17,21397
90,291,291,18,21415
91,305,305,19,21434
92,320,320,20,21454
93,336,336,21,21475
94,352,352,22,21497
95,370,370,23,21520
96,388,388,24,21544
97,407,407,25,21569
98,426,426,27,21596
99,447,447,28,21624
100,469,469,29,21653
101,492,492,31,21684
102,516,516,32,21716
103,541,541,34,21750
104,568,568,36,21786
105,595,595,37,21823
106,624,624,39,21862
107,655,655,41,21903
108,687,687,43,21946
109,721,721,45,21991
110,756,756,48,22039
111,793,793,50,22089
112,831,831,52,22141
113,872,872,55,22196
114,915,915,58,22254
115,959,959,61,22315
116,1006,1006,64,22379
117,1055,1055,67,22446
118,1107,1107,70,22516
119,1161,1161,73,22589
120,1217,1217,77,22666
121,1277,1277,81,22747
122,1339,1339,85,22832
123,1405,1405,89,22921
124,1473,1473,93,23014
125,1545,1545,98,23112
126,1621,1621,103,23215
127,1700,1700,108,23323
128,1783,1783,113,23436
129,1870,1870,119,23555
130,1961,1961,124,23679
131,2057,2057,130,23809
132,2157,2157,137,23946
133,2262,2262,143,24089
134,2373,2373,150,24239
135,2489,2489,158,24397
136,2610,2610,166,24563
137,2738,2738,174,24737
138,2871,2871,182,24919
139,3011,3011,191,25110
140,3158,3158,200,25310
141,3313,3313,210,25520
142,3474,3474,221,25741
143,3644,3644,231,25972
144,3822,3822,243,26215
145,4008,4008,255,26470
146,4204,4204,267,26737
147,4409,4409,280,27017
148,4625,4625,294,27311
149,4850,4850,308,27619
150,5087,5087,323,27942
151,5335,5335,339,28281
152,5596,5596,356,28637
153,5869,5869,373,29010
154,6155,6155,391,29401
155,6456,6456,410,29811
156,6771,6771,430,30241
157,7102,7102,451,30692
158,7448,7448,473,31165
159,7812,7812,497,31662
160,8193,8193,521,32183
161,8593,8593,546,32729
162,9012,9012,573,33302
163,9452,9452,601,33903
164,9914,9914,630,34533
165,10398,10398,661,35194
166,10905,10905,693,35887
167,11437,11437,727,36614
168,11996,11996,763,37377
169,12581,12581,800,38177
170,13195,13195,839,39016
171,12606,12606,880,39896
172,12029,12029,923,40819
173,11465,11465,882,41701
174,10914,10914,842,42543
175,10377,10377,802,43345
176,9854,9854,763,44108
177,9347,9347,726,44834
178,8855,8855,689,45523
179,8379,8379,654,46177
180,7918,7918,619,46796
181,7474,7474,586,47382
182,7047,7047,554,47936
183,6635,6635,523,48459
184,6241,6241,493,48952
185,5862,5862,464,49416
186,5500,5500,436,49852
187,5153,5153,410,50262
188,4823,4823,385,50647
189,4508,4508,360,51007
190,4209,4209,337,51344
191,3925,3925,315,51659
192,3655,3655,294,51953
193,3400,3400,274,52227
194,3158,3158,255,52482
195,2930,2930,238,52720
196,2715,2715,221,52941
197,2513,2513,205,53146
198,2323,2323,190,53336
199,2145,2145,175,53511
200,1977,1977,162,53673
201,1821,1821,150,53823
202,1675,1675,138,53961
203,1538,1538,127,54088
204,1411,1411,117,54205
205,1293,1293,107,54312
206,1183,1183,98,54410
207,1082,1082,90,54500
208,987,987,82,54582
209,900,900,75,54657
210,819,819,69,54726
211,745,745,63,54789
212,676,676,57,54846
213,614,614,52,54898
214,556,556,47,54945
215,503,503,42,54987
216,454,454,38,55025
217,410,410,35,55060
218,369,369,31,55091
219,332,332,28,55119
220,299,299,25,55144
221,268,268,23,55167
222,240,240,20,55187
223,215,215,18,55205
224,192,192,16,55221
225,172,172,15,55236
226,153,153,13,55249
227,136,136,12,55261
228,121,121,10,55271
229,107,107,9,55280
230,95,95,8,55288
231,84,84,7,55295
232,75,75,6,55301
233,66,66,5,55306
234,58,58,5,55311
235,51,51,4,55315
236,45,45,4,55319
237,39,39,3,55322
238,35,35,3,55325
239,30,30,2,55327
240,26,26,2,55329
241,23,23,2,55331
242,20,20,1,55332
243,17,17,1,55333
244,15,15,1,55334
245,13,13,1,55335
246,11,11,1,55336
247,10,10,0,55336
248,8,8,0,55336
249,7,7,0,55336
250,6,6,0,55336
251,5,5,0,55336
252,4,4,0,55336
253,4,4,0,55336
254,3,3,0,55336
255,3,3,0,55336
256,2,2,0,55336
257,2,2,0,55336
258,1,1,0,55336
259,1,1,0,55336
260,1,1,0,55336
261,1,1,0,55336
262,1,1,0,55336
263,0,0,0,55336
264,0,0,0,55336
265,0,0,0,55336
266,0,0,0,55336
267,0,0,0,55336
268,0,0,0,55336
269,0,0,0,55336
270,0,0,0,55336
271,0,0,0,55336
272,0,0,0,55336
273,0,0,0,55336
274,0,0,0,55336
275,0,0,0,55336
276,0,0,0,55336
277,0,0,0,55336
278,0,0,0,55336
